loggernet_variable,cr1000_name,var_type,research_name,definition,units,link,logger,var_role,table
row_id,row_id,site,row_id,intialrowid,,lowmarsh,lowmarsh,key,
row_id,row_id,site,row_id,intialrowid,,merit pioneer,merit pioneer,key,
row_id,row_id,site,row_id,intialrowid,,merit lowmarsh,merit lowmarsh,key,
row_id,row_id,site,row_id,intialrowid,,merit highmarsh,merit highmarsh,key,
row_id,row_id,site,row_id,intialrowid,,cr1000_merit_highmarsh,cr1000_merit_highmarsh,key,
row_id,row_id,site,row_id,intialrowid,,highmarsh,highmarsh,key,
row_id,row_id,site,row_id,intialrowid,,pioneer,pioneer,key,
time2,time2,site,time2,revised timestamp,,merit pioneer,merit pioneer,key,
time2,time2,site,time2,revised timestamp,,merit lowmarsh,merit lowmarsh,key,
time2,time2,site,time2,revised timestamp,,merit highmarsh,merit highmarsh,key,
time2,time2,site,time2,revised timestamp,,lowmarsh,lowmarsh,key,
time2,time2,site,time2,revised timestamp,,cr1000_merit_highmarsh,cr1000_merit_highmarsh,key,
time2,time2,site,time2,revised timestamp,,highmarsh,highmarsh,key,
time2,time2,site,time2,revised timestamp,,pioneer,pioneer,key,
TIMESTAMP,timestamp,site,timestamp,loggernet timestamp,,pioneer,pioneer,key,
RECORD,record,site,record,record number,,pioneer,pioneer,logger,
NDVI_A(1),ndvi_a1,plot,ndvi_red,Alias NDVI(1)= downOut(1) = Red-650nm, W/m^2 nm sr,110,pioneer,plot,
NDVI_A(2),ndvi_a2,plot,ndvi_nir,Alias NDVI(2)= downOut(2) = NIR-910 near infared,W/m^2 nm sr,110,pioneer,plot,
NDVI_A(3),ndvi_a3,plot,ndvi_orientation,Alias NDVI(3) = sensor orientation index 1 = downlooking 2= downward 0=undetermined,',110,pioneer,plot,
NDVI_B(1),ndvi_b1,plot,ndvi_red,Alias NDVI(1)= downOut(1) = Red-650nm, W/m^2 nm sr,111,pioneer,plot,
NDVI_B(2),ndvi_b2,plot,ndvi_nir,Alias NDVI(2)= downOut(2) = NIR-910 near infared,W/m^2 nm sr,111,pioneer,plot,
NDVI_B(3),ndvi_b3,plot,ndvi_orientation,Alias NDVI(3) = sensor orientation index 1 = downlooking 2= downward 0=undetermined,',111,pioneer,plot,
NDVI_C(1),ndvi_c1,plot,ndvi_red,Alias NDVI(1)= downOut(1) = Red-650nm, W/m^2 nm sr,112,pioneer,plot,
NDVI_C(2),ndvi_c2,plot,ndvi_nir,Alias NDVI(2)= downOut(2) = NIR-910 near infared,W/m^2 nm sr,112,pioneer,plot,
NDVI_C(3),ndvi_c3,plot,ndvi_orientation,Alias NDVI(3) = sensor orientation index 1 = downlooking 2= downward 0=undetermined,',112,pioneer,plot,
NDVI_D(1),ndvi_d1,plot,ndvi_red,Alias NDVI(1)= downOut(1) = Red-650nm, W/m^2 nm sr,120,pioneer,plot,
NDVI_D(2),ndvi_d2,plot,ndvi_nir,Alias NDVI(2)= downOut(2) = NIR-910 near infared,W/m^2 nm sr,120,pioneer,plot,
NDVI_D(3),ndvi_d3,plot,ndvi_orientation,Alias NDVI(3) = sensor orientation index 1 = downlooking 2= downward 0=undetermined,',120,pioneer,plot,
NDVI_E(1),ndvi_e1,plot,ndvi_red,Alias NDVI(1)= downOut(1) = Red-650nm, W/m^2 nm sr,121,pioneer,plot,
NDVI_E(2),ndvi_e2,plot,ndvi_nir,Alias NDVI(2)= downOut(2) = NIR-910 near infared,W/m^2 nm sr,121,pioneer,plot,
NDVI_E(3),ndvi_e3,plot,ndvi_orientation,Alias NDVI(3) = sensor orientation index 1 = downlooking 2= downward 0=undetermined,',121,pioneer,plot,
NDVI_F(1),ndvi_f1,plot,ndvi_red,Alias NDVI(1)= downOut(1) = Red-650nm, W/m^2 nm sr,122,pioneer,plot,
NDVI_F(2),ndvi_f2,plot,ndvi_nir,Alias NDVI(2)= downOut(2) = NIR-910 near infared,W/m^2 nm sr,122,pioneer,plot,
NDVI_F(3),ndvi_f3,plot,ndvi_orientation,Alias NDVI(3) = sensor orientation index 1 = downlooking 2= downward 0=undetermined,',122,pioneer,plot,
NDVI_G(1),ndvi_g1,plot,ndvi_red,Alias NDVI(1)= downOut(1) = Red-650nm, W/m^2 nm sr,130,pioneer,plot,
NDVI_G(2),ndvi_g2,plot,ndvi_nir,Alias NDVI(2)= downOut(2) = NIR-910 near infared,W/m^2 nm sr,130,pioneer,plot,
NDVI_G(3),ndvi_g3,plot,ndvi_orientation,Alias NDVI(3) = sensor orientation index 1 = downlooking 2= downward 0=undetermined,',130,pioneer,plot,
NDVI_H(1),ndvi_h1,plot,ndvi_red,Alias NDVI(1)= downOut(1) = Red-650nm, W/m^2 nm sr,131,pioneer,plot,
NDVI_H(2),ndvi_h2,plot,ndvi_nir,Alias NDVI(2)= downOut(2) = NIR-910 near infared,W/m^2 nm sr,131,pioneer,plot,
NDVI_H(3),ndvi_h3,plot,ndvi_orientation,Alias NDVI(3) = sensor orientation index 1 = downlooking 2= downward 0=undetermined,',131,pioneer,plot,
NDVI_I(1),ndvi_i1,plot,ndvi_red,Alias NDVI(1)= downOut(1) = Red-650nm, W/m^2 nm sr,132,pioneer,plot,
